accx,accy,accz,grox,groy,groz,magx,magy,magz,count
-60,112,7168,70,639,-486,0,0,0,565
-96,84,7084,15,677,-523,0,0,0,566
-88,92,7104,64,692,-533,0,0,0,567
-52,128,7116,52,686,-492,0,0,0,568
-72,100,7060,90,685,-493,0,0,0,569
-108,112,7144,57,657,-453,0,0,0,570
-44,148,7056,90,603,-550,0,0,0,571
4,100,7156,87,685,-547,0,0,0,572
-100,120,7152,38,715,-580,0,0,0,573
-32,108,7100,56,723,-557,0,0,0,574
-28,92,7080,80,656,-538,0,0,0,575
4,44,7172,118,686,-527,0,0,0,576
-32,48,7128,45,675,-507,0,0,0,577
12,128,7104,81,696,-508,0,0,0,578
-44,84,7208,102,670,-567,0,0,0,579
-12,64,7148,71,684,-562,0,0,0,580
-52,68,7156,80,698,-501,0,0,0,581
-12,116,7208,42,669,-524,0,0,0,582
-28,116,7064,51,637,-470,0,0,0,583
-72,184,7112,73,613,-535,0,0,0,584
-28,92,7080,113,638,-507,0,0,0,585
-40,120,7124,13,716,-511,0,0,0,586
-28,104,7016,63,657,-480,0,0,0,587
-76,104,7088,116,700,-511,0,0,0,588
-84,164,7172,16,695,-495,0,0,0,589
-64,120,7120,125,697,-540,0,0,0,590
-76,108,7060,44,627,-524,0,0,0,591
-84,96,7164,111,679,-505,0,0,0,592
-56,136,7092,43,648,-453,0,0,0,593
-112,88,7128,63,710,-499,0,0,0,594
-52,52,7176,126,653,-607,0,0,0,595
-12,108,7132,91,660,-534,0,0,0,596
-44,72,7108,92,660,-540,0,0,0,597
-28,128,7000,105,654,-547,0,0,0,598
-36,84,7152,68,650,-531,0,0,0,599
-108,44,7196,45,693,-539,0,0,0,600
-24,68,7136,99,666,-417,0,0,0,601
-48,40,7080,72,684,-512,0,0,0,602
-20,128,7164,71,664,-559,0,0,0,603
-12,88,7088,54,732,-515,0,0,0,604
20,76,7216,40,658,-512,0,0,0,605
-36,144,7128,29,706,-558,0,0,0,606
16,72,7116,99,663,-485,0,0,0,607
-64,100,7116,105,690,-474,0,0,0,608
-16,140,7116,85,697,-561,0,0,0,609
-16,156,7160,55,642,-500,0,0,0,610
-4,84,7144,77,723,-506,0,0,0,611
